Year,Winners,Median,Losers,Annualized_Return_Winners,Annualized_Return_Median,Annualized_Return_Losers,Volatility_Winners,Volatility_Median,Volatility_Losers,Sharpe_Ratio_Winners,Sharpe_Ratio_Median,Sharpe_Ratio_Losers,MDD_Winners,MDD_Median,MDD_Losers
2020,119.52237597270482,110.70874942030275,143.12554459811523,19.522375972704822,10.708749420302752,43.125544598115226,34.219150563984684,38.41460203139643,37.65961286801257,0.5705102450220354,0.27876767827896387,1.1451404120711322,-33.04678653672962,-46.66812268990436,-33.065262837203456
2021,166.21129843968555,142.81494895629208,172.0589025146655,39.06291360677353,29.00059814974426,20.215369658709612,15.908345636839352,14.873993959350287,12.019974319831237,2.4554981704894923,1.9497519112217685,1.6818147128115861,-8.246719827450839,-6.362754839389169,-6.842952034405346
2022,152.76231207227121,126.37598841073074,150.2702464834167,-8.091499491109913,-11.510672143006834,-12.663486580935054,22.125314203349344,20.843946761393557,25.555371705310446,-0.36571229754039003,-0.5522309318274842,-0.495531300697284,-17.32710330790919,-21.982163609367657,-26.161670090350487
2023,173.0016555056391,137.22174522373214,191.0086562656784,13.248911435559268,8.582134113762132,27.110097132074273,15.059955726460142,12.65103031063139,15.161558344875777,0.879744381471262,0.6783743223308911,1.7880811797447456,-11.459314982217082,-11.352556143212896,-10.5741247516429
2024,196.39393514418433,164.27902345317537,223.20441703195604,13.521419532186355,19.71792312168009,16.85565533820404,11.799919395178426,11.6939155855135,11.6243618640153,1.1458908386875382,1.6861694423471625,1.4500284433146287,-8.821752722098006,-5.96115533383823,-6.008601054123429
