Year,Winners,Median,Losers,Annualized_Return_Winners,Annualized_Return_Median,Annualized_Return_Losers,Volatility_Winners,Volatility_Median,Volatility_Losers,Sharpe_Ratio_Winners,Sharpe_Ratio_Median,Sharpe_Ratio_Losers,MDD_Winners,MDD_Median,MDD_Losers
2020,118.47156677689784,114.12626281214963,143.12554459811523,18.471566776897845,14.126262812149633,43.125544598115226,35.16164352944414,36.5440938595664,37.65961286801257,0.5253328605481672,0.3865539221312968,1.1451404120711322,-34.13839743431796,-42.53105770453124,-33.065262837203456
2021,167.11659520476502,148.35701056399307,172.0589025146655,41.06050907512184,29.99375157687132,20.215369658709612,16.638674239905917,14.252354043311454,12.019974319831237,2.4677752856440334,2.104477020829216,1.6818147128115861,-8.474955158230745,-5.024206029785064,-6.842952034405346
2022,157.40120871894044,130.0398791627862,150.2702464834167,-5.813537832027088,-12.346657115543495,-12.663486580935054,22.543951035503678,20.70030076219057,25.555371705310446,-0.25787573007373693,-0.5964481993466908,-0.495531300697284,-13.824154415220136,-22.297911971471507,-26.161670090350487
2023,186.42192275092808,137.84053273631852,191.0086562656784,18.437414978056335,5.99866258239699,27.110097132074273,16.17971659106142,12.443667078517322,15.161558344875777,1.1395388092423195,0.48206549922514785,1.7880811797447456,-11.422179498299284,-11.429320703701471,-10.5741247516429
2024,204.1662083682997,167.1507858368041,223.20441703195604,9.518347067516917,21.263885533984762,16.85565533820404,12.862354796511974,11.183339680807995,11.6243618640153,0.7400159005175406,1.9013895795793667,1.4500284433146287,-9.462058453666911,-5.558141395600011,-6.008601054123429
