Year,Winners,Median,Losers,Annualized_Return_Winners,Annualized_Return_Median,Annualized_Return_Losers,Volatility_Winners,Volatility_Median,Volatility_Losers,Sharpe_Ratio_Winners,Sharpe_Ratio_Median,Sharpe_Ratio_Losers,MDD_Winners,MDD_Median,MDD_Losers
2020,119.52237597270482,115.66817665307471,147.36689693942526,19.522375972704822,15.668176653074708,47.36689693942526,34.219150563984684,36.97825039141092,39.94801933495732,0.5705102450220354,0.4237133040971029,1.1857132776036257,-33.04678653672962,-43.085706863640276,-33.143453595153794
2021,166.21129843968555,147.13740610889823,176.34045855502956,39.06291360677353,27.20647144824428,19.66083443252103,15.908345636839352,13.308521218327579,13.079964797828746,2.4554981704894923,2.0442895947580864,1.5031259438698716,-8.246719827450839,-6.142847456730558,-7.272664695503865
2022,152.76231207227121,131.13951456154265,151.53608866237553,-8.091499491109913,-10.872756269412102,-14.066182029867788,22.125314203349344,20.290158965693585,28.264484544533257,-0.36571229754039003,-0.535863533045535,-0.4976627826948425,-17.32710330790919,-21.409713287250142,-28.99207517599629
2023,173.0016555056391,148.94054226066007,192.19877031649725,13.248911435559268,13.574114376306879,26.833661877547016,15.059955726460142,12.482299814993452,16.114552397078885,0.879744381471262,1.0874690223352883,1.6651819558085401,-11.459314982217082,-11.874914829637424,-12.363867469149636
2024,196.39393514418433,172.6497079017223,232.1967325829963,13.521419532186355,15.918543924439966,20.81072745711832,11.799919395178426,10.915188237484099,12.43906800636958,1.1458908386875382,1.4583847367628282,1.673013399915647,-8.821752722098006,-5.399251562138874,-6.366303832238894
