Year,Winners,Median,Losers,Annualized_Return_Winners,Annualized_Return_Median,Annualized_Return_Losers,Volatility_Winners,Volatility_Median,Volatility_Losers,Sharpe_Ratio_Winners,Sharpe_Ratio_Median,Sharpe_Ratio_Losers,MDD_Winners,MDD_Median,MDD_Losers
2020,120.80522696190378,114.43688551951287,91.79908727047545,20.805226961903784,14.43688551951287,-8.200912729524546,34.20309254921025,33.18504783124854,42.784052849002165,0.608284965225584,0.435041877683191,-0.1916815304634192,-31.868265596029737,-33.08891273561853,-46.420849712222264
2021,155.58428425202598,149.08319017844272,119.2047680601745,28.789364636589653,30.275469750548424,29.853979603251783,14.49504209836132,12.30801898287732,14.708022755649361,1.9861525369315292,2.459816627896583,2.0297751845525838,-7.007976318090278,-6.152493740926315,-6.121316103803981
2022,141.58610861479036,136.50066011359556,99.84421674611298,-8.997165558547305,-8.43993883534871,-16.241423584909228,20.308936556803925,23.66011438236572,25.540194184008797,-0.44301509994786326,-0.3567158932096769,-0.6359162137881588,-21.253572784108442,-21.180053958902015,-23.712587429456704
2023,165.90712423313164,161.47989538699892,113.99292540702871,17.17754365614414,18.299717563721448,14.170784369908487,14.241932908532204,13.580681535475305,14.498111676232666,1.206124461227678,1.3474815321984488,0.9774227627960144,-11.865742737231228,-11.648714208889531,-12.07535256417309
2024,197.12802466125694,189.8365229010387,126.60406960347812,18.818300041325468,17.560469336496016,11.063093741492684,11.654023276902945,11.349873461788267,13.317241260376491,1.6147470786866687,1.5471951643881339,0.8307346488051776,-6.3992096059567904,-6.027521098664534,-9.853790411915476
