Year,Winners,Median,Losers,Annualized_Return_Winners,Annualized_Return_Median,Annualized_Return_Losers,Volatility_Winners,Volatility_Median,Volatility_Losers,Sharpe_Ratio_Winners,Sharpe_Ratio_Median,Sharpe_Ratio_Losers,MDD_Winners,MDD_Median,MDD_Losers
2020,120.80522696190378,116.5356490065274,96.0565607960156,20.805226961903784,16.535649006527393,-3.9434392039843975,34.20309254921025,31.87555789297095,40.87147002278146,0.608284965225584,0.5187563794820281,-0.09648390923513035,-31.868265596029737,-31.58868302600831,-44.16758463557184
2021,155.58428425202598,148.9677714956802,126.54083362172548,28.789364636589653,27.830215702781413,31.735752949187784,14.49504209836132,12.964487797541008,13.539664384997376,1.9861525369315292,2.1466498435873422,2.343909867097783,-7.007976318090278,-7.718718918519967,-5.543287871877604
2022,141.58610861479036,136.23451418447928,108.3776516764974,-8.997165558547305,-8.547659123416619,-14.353613316255013,20.308936556803925,22.954071468234055,25.66375644251117,-0.44301509994786326,-0.37238095800327414,-0.5592951035211168,-21.253572784108442,-23.306396765759825,-22.408059105263376
2023,165.90712423313164,155.49998144389102,128.08413068518846,17.17754365614414,14.141399758158041,18.183157416543818,14.241932908532204,13.67472862416106,14.116655709002682,1.206124461227678,1.034126537119899,1.288064098988246,-11.865742737231228,-12.89073487188396,-10.78459719221275
2024,197.12802466125694,186.97120000364959,141.82085253930046,18.818300041325468,20.23872817702831,10.724764871828505,11.654023276902945,12.021117548786188,12.21060123445902,1.6147470786866687,1.6835978930321567,0.8783158720770113,-6.3992096059567904,-6.27201673983013,-8.649870097160262
