Year,Winners,Median,Losers,Annualized_Return_Winners,Annualized_Return_Median,Annualized_Return_Losers,Volatility_Winners,Volatility_Median,Volatility_Losers,Sharpe_Ratio_Winners,Sharpe_Ratio_Median,Sharpe_Ratio_Losers,MDD_Winners,MDD_Median,MDD_Losers
2020,99.06228747319435,116.57739529692867,117.03183303665207,-0.9377125268056545,16.57739529692867,17.031833036652074,33.48010506680185,36.962039424913165,39.145706791442414,-0.02800805209346461,0.448497852252037,0.4350881471470935,-31.751557363537763,-35.785110346744474,-41.70760495247448
2021,128.89220427201002,155.13232627957245,148.21984118792506,30.11228345286037,33.07239013570545,26.649166591713136,13.445775173189837,12.923337718166225,14.866632881383419,2.239534951685245,2.55912140168061,1.792548911669452,-6.90138718589157,-5.30894389857293,-5.974508305755424
2022,114.87075383091556,143.4153684794492,128.8103615106844,-10.87843172540058,-7.552879584237964,-13.095061714869708,21.561202612630407,22.860700227098093,24.340763115254475,-0.504537335919661,-0.33038706204130636,-0.5379889551064637,-21.380716710799565,-19.577304021333138,-23.2585250275452
2023,134.3895792779174,157.09126065281106,157.69929977494084,16.991988644675075,9.53586238236494,22.427495680819277,13.989776816300235,13.672642232473613,14.481450317072644,1.2146004091270994,0.6974410812649298,1.5487050806215719,-13.408792876304023,-12.903212534998712,-9.900435661071786
2024,151.02603497482252,199.49979318787388,177.92978101278896,12.379275079432292,26.996111915347303,12.82851684612416,11.479835697319462,11.285510205796415,12.548771965520352,1.0783494995771454,2.3921038059477078,1.02229261009543,-5.982600243141112,-7.741708407287239,-8.437669598193413
